rate,year,sex,drugname,totpop,totdeath,stderr,glower,gupper
1.0403603071,2008,T,METHAMPHETAMINE,6608245,69,0.1265023365,0.8072945116,1.3246642555
1.5631394142,2008,F,MORPHINE,3309912,58,0.2076218664,1.1829220504,2.0372600048
1.5196643243,2008,M,MORPHINE,3298333,53,0.210714586,1.1350001049,2.0112469291
1.5459423663,2008,T,MORPHINE,6608245,111,0.1483311611,1.2689241232,1.8716100788
0.6240314177,2008,F,OPIATE,3309912,21,0.1379623334,0.3835640352,0.9668323525
1.142972258,2008,M,OPIATE,3298333,39,0.1845232374,0.8102980613,1.584882013
0.8866793145,2008,T,OPIATE,6608245,60,0.1156333972,0.6746444907,1.1496572346
2.3876319324,2008,F,OXYCODONE,3309912,86,0.261444432,1.9028396623,2.9670545854
2.8046029742,2008,M,OXYCODONE,3298333,98,0.2853413932,2.2733269834,3.4401429424
2.6081824417,2008,T,OXYCODONE,6608245,184,0.1942929857,2.2412636115,3.0236182567
1.113955425,2009,F,ACETAMINOPHEN,3341418,39,0.1818236686,0.7864712322,1.5409003825
0.5807342086,2009,M,ACETAMINOPHEN,3330741,19,0.1357423117,0.3458768189,0.9315745498
0.8429218423,2009,T,ACETAMINOPHEN,6672159,58,0.1126216404,0.6367655694,1.1000400116
2.0149180237,2009,F,ALCOHOL,3341418,67,0.2496877233,1.5554698796,2.5742806568
4.3184766839,2009,M,ALCOHOL,3330741,149,0.3573381423,3.64651895,5.0941118435
3.1793447109,2009,T,ALCOHOL,6672159,216,0.2189354759,2.7646921024,3.6434357966
1.0201037864,2009,F,ALPRAZOLAM,3341418,35,0.1748778639,0.7065625892,1.4339452779
1.1512456757,2009,M,ALPRAZOLAM,3330741,39,0.1861878399,0.815623414,1.5962662906
1.0896864826,2009,T,ALPRAZOLAM,6672159,74,0.1281673426,0.8530510822,1.376941732
0.7950041438,2009,F,AMITRIPTYLINE,3341418,28,0.1528249636,0.5241868973,1.1660541209
0.4298376365,2009,M,AMITRIPTYLINE,3330741,15,0.1130083982,0.2376668352,0.7369271615
0.6099102491,2009,T,AMITRIPTYLINE,6672159,43,0.094419146,0.4390596983,0.8315446199
1.6878615856,2009,F,CITALOPRAM,3341418,60,0.222387118,1.2803700661,2.1928236727
1.500265782,2009,M,CITALOPRAM,3330741,50,0.2145277193,1.109562194,2.0001295197
1.5941948766,2009,T,CITALOPRAM,6672159,110,0.1543705533,1.3060312019,1.932255069
1.1527644472,2009,F,COCAINE,3341418,39,0.1873166318,0.8152504823,1.5909487288
2.3221086239,2009,M,COCAINE,3330741,81,0.260760368,1.8393009716,2.909950807
1.7424240553,2009,T,COCAINE,6672159,120,0.1610600647,1.4410804165,2.093451331
0.9644937166,2009,F,DIAZEPAM,3341418,34,0.1684740888,0.6629804453,1.3655598638
